"Product Name","Location","Time","Store Name","Price","Unity"
"IMPRIMANTE CANON MF 752 CDW","Kouba, 16","il y a environ 7 heures","PRIMA TECHNOLOGY","",""
"Autodesk AutoCAD 2023 Windows Full Version","Alger centre, 16","il y a 1 jour","","3 000","DA"
"Licences Microsoft","Bab ezzouar, 16","il y a 1 jour","","",""
"Imprimante badge","Kouba, 16","il y a environ 7 heures","PRIMA TECHNOLOGY","",""
"FAX Panasonic KX-FT988FX","Kouba, 16","il y a environ 7 heures","PRIMA TECHNOLOGY","",""
"IMPRIMANTE CANON LBP 236 DW","Kouba, 16","il y a environ 7 heures","PRIMA TECHNOLOGY","63 500","DA"
"Imprimante tickets de caisse XPRINTER XP-K200L","Bab ezzouar, 16","il y a environ 7 heures","PRIMA TECHNOLOGY","18 000","DA"
"Imprimante Canon PIXMA G3410 WiFi","Bab ezzouar, 16","il y a environ 7 heures","PRIMA TECHNOLOGY","",""
"Adobe Illustrator 2024 - Full Version For Windows/MacOs","Alger centre, 16","il y a 1 jour","","2 500","DA"
"Adobe suite collection 2024 lifetime","Said hamdine, 16","il y a 1 jour","","6 000","DA"
"Abonnement IPTV IRON LYNX ATLAS GoGo Funcam Gshare Forever Vanilla IBO OTT KING ...","Bab ezzouar, 16","il y a environ 7 heures","Optimum","1 000","DA"
"Câble DP Display Port Touts Type","Zeralda, 16","il y a environ 7 heures","SVC Corporation","999","DA"
"APPLE MacBook Air 2023 - M2 Puce - 8 Go - 256 Go SSD - 15,3 inch LED Liquid Reti...","Hussein dey, 16","il y a environ 7 heures","ADMIN Informatique","258 000","DA"
"Apple MacBook Air 2023 - M2 Puce - 8 Go - 256 Go SSD - 15,3inch LED Liquid Retin...","Kouba, 16","il y a environ 7 heures","IT DEVICE","258 000","DA"
"Clavier Gaming - CHALLENGER 002 US USB NOIR","Hussein dey, 16","il y a environ 7 heures","CHB Store / COMPUTER HARD BUSINESS","7 150","DA"
"Logiciel Gestion Parc Automobile","Reghaia, 16","il y a 1 jour","","50 000","DA"
"Switch D-Link DGS-1210-10P/ Tenda 8/5P/Tp-Link","Saoula, 16","il y a 1 jour","","",""
"Duplicopeur Ricoh A4 DX2430","Mohammadia, 16","il y a environ 7 heures","AM Computer","399 000","DA"
"All In One Lenovo V30a Core I3-1115G4/4Go/1To HDD/Ecran 21.5"" FHD/Windows 10 Pro","Hydra, 16","il y a environ 7 heures","AlgerPC.COM","89 900","DA"
"All In One HP 22 Core I3-1215U/4Go DDR4/256 Go SSD/Ecran 21.5 FHD/Intel Iris Xe ...","Hydra, 16","il y a environ 7 heures","AlgerPC.COM","99 900","DA"
"IMPRIMANTE ETIQUETTE CODE BARRE INVENTAIRE SMART POS RP 411","Mohammadia, 16","il y a environ 7 heures","AsloTech","17 300","DA"
"CARTOUCHE EPSON 603 POUR XP2100/XP2105/XP3100","Birkhadem, 16","il y a environ 7 heures","hammad2021","1 200","DA"
"Flash Disque 16G et 32G Gros","Kouba, 16","il y a 1 jour","","759","DA"
"Disque dur SSD 512GB M.2 nvme pcle 3.0","Ain taya, 16","il y a 1 jour","","6 700","DA"
"Microsoft Project Professional 2019 / 2021","Bordj el bahri, 16","il y a environ 7 heures","Imkan techology","6 500","DA"
"POLY Sync 40 Micro haut-parleur performant avec connexion USB et Bluetooth","Dely brahim, 16","il y a environ 7 heures","TEKNOSYS","",""
"Ecran MSI G255F 25 Pouces Fast IPS 180Hz 1ms Monitor","Dar el beida, 16","il y a environ 7 heures","Informatics","35 000","DA"
"ASUS ROG STRIX G16 2023 - Intel I7-13650HX - 16 GB - 512GB - 16"" 165Hz WUXGA - R...","Kouba, 16","il y a environ 7 heures","IT DEVICE","340 000","DA"
"DELL VOSTRO 3400 - CORE I5-1135G7 - 8GO - 256 SSD + 1TB HDD - 14"" FHD - RÉTROÉCL...","Kouba, 16","il y a environ 7 heures","IT DEVICE","98 000","DA"
"Hagibis Adaptator USB C de 240W 40Gbps 8K","Birkhadem, 16","il y a 1 jour","","2 500","DA"
"CABLE RESEAU FTP CAT6 305M 500M","Gue de constantine, 16","il y a 1 jour","","19 200","DA"
"DELL VOSTRO 15 3510 - Intel Core I7-1165G7 - 8Go - SSD Nvme 512Go - 15.6"" LED Fu...","Kouba, 16","il y a environ 7 heures","IT DEVICE","142 000","DA"
