"Product Name","Price","Unity","Delivery","Location","Time","Store Name"
"IMPRIMANTE CANON MF 655CDW LASER COULEUR","77 000","DA","Paiement à la livraison","Draria, 16","il y a environ 12 heures","DIGITAL WORLD TECHNOLOGY"
"Microphone professionals","9 999","DA","","Bachdjerrah, 16","il y a 3 jours",""
"Cartouche CANON 470 471 570 571 270 271 250 251 450 451 550 551 TS5050 TS5040 TS...","1","DA","","Saoula, 16","il y a 3 jours",""
"Jabra Speak 710 Microphone de réunion avec connexion USB et Bluetooth","","","","Dely brahim, 16","il y a environ 12 heures","TEKNOSYS"
"CANON i-SENSYS LBP 631Cw Imprimante laser monochrome avec écran LCD - USB 2.0 Wi...","57 000","DA","Paiement à la livraison","Hussein dey, 16","il y a environ 12 heures","ADMIN Informatique"
"LOGITECH G502X SOURIS LIGHT SPEED - SANS FIL - GAMING - PC ou Mac - DROITIER  25...","23 500","DA","Paiement à la livraison","Hussein dey, 16","il y a environ 12 heures","ADMIN Informatique"
"DELL ALIENWARE X16 R1 2024/I9-13900HK 5.5GHZ/RAM 32GB DDR5/DISK 1TB SSD/RTX 408...","535 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a environ 12 heures","Microsoft  pro dz"
"MICROSOFT SURFACE PRO 11 PLATINUM  2024 /Snapdragon X Plus C10/RAM 16GB/256GB SS...","265 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a environ 12 heures","Microsoft  pro dz"
"Disque dur 4tb seagate neuf","19 500","DA","","El harrach, 16","il y a 3 jours",""
"souris HP sans fil","1 800","DA","","Ben aknoun, 16","il y a 3 jours",""
"MSI LEPARD GP76 2022/I7-11800H 5GHZ/16GB DDR4/ 512GB SSD/ NVIDIA RTX 3080 8GB /E...","265 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a environ 12 heures","Microsoft  pro dz"
"installation camera de survei","2 550","DA","Livraison gratuite","Kouba, 16","il y a environ 12 heures","V  DOME"
"disque dur camera surveillance","64 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a environ 12 heures","MEI Informatique"
"MICROSOFT SURFACE PRO 9 I7 12th 16 GB 512 GB SSD 2K TACTILE NEUF","325 000","DA","","Bab ezzouar, 16","il y a environ 12 heures","TRETEC"
"Disque dur externe HDD, 1 To,USB 3.0 pour PC portable et Mac et services,Seagate...","11 500","DA","Paiement à la livraison","Kouba, 16","il y a environ 12 heures","AMIRSYS"
"jarretiēr optique","500","DA","","Baraki, 16","il y a 3 jours",""
"SSD XRAYDISK 512GO SATA3 2.5","7 000","DA","","Mohammadia, 16","il y a 3 jours",""
"Flash Disque ADATA C906 4GB/8GB/16GB/32GB/64GB/128GB","900","DA","","Kouba, 16","il y a environ 12 heures","AMIRSYS"
"DISQUE DUR EXTERNE SSD 128GB / 256 GB / 512GB / 1TB HOCO","6 400","DA","","Kouba, 16","il y a environ 12 heures","AMIRSYS"
