"Product Name","Price","Unity","Location","Time","Store Name"
"CLÉS USB PUBLICITAIRES PERSONALISABLE","498","DA","Blida, 9","il y a environ 1 heure","TIMI NEW TECH"
"PC DELL VOSTRO ( 14 Intel Core i5-1135G7,16 GB RAM,Intel Iris Xe graphics,1 TB H...","125 000","DA","Hadjout, 42","il y a 26 minutes",""
"PC Portable GAMING LENOVO 15.6","210 000","DA","Akbou, 6","il y a 42 minutes",""
"IMPRIMANTE L3250","37 500","DA","Bab ezzouar, 16","il y a environ 1 heure","Empreinte Informatique"
"IMPRIMANTE G3410","38 500","DA","Bab ezzouar, 16","il y a environ 1 heure","Empreinte Informatique"
"imprimante canon G2430","27 500","DA","Bab ezzouar, 16","il y a environ 1 heure","Empreinte Informatique"
"G 2420","32 800","DA","Bab ezzouar, 16","il y a environ 1 heure","Empreinte Informatique"
"Multifonction Epson L3210","31 900","DA","Bab ezzouar, 16","il y a environ 1 heure","Empreinte Informatique"
"Casque Gaming Asus Rog Fusion II 500 7.1 Ps5 Pc ACHTE","45 000","DA","Didouche mourad, 25","il y a environ 1 heure",""
"HP Omen slim 10 i9-13900HX 16gb/1tb ssd Nvidia Rtx 4070","328 000","DA","El harrach, 16","il y a environ 1 heure",""
"Flash disque personnalisé","498","DA","Blida, 9","il y a environ 1 heure","TIMI NEW TECH"
"Fourniture de bureau, informatique, scolaire","","","Mohammadia, 16","il y a environ 2 heures","Tech Zone Stationery"
"RAME DE PAPIER EXTRA BLANC A4","540","DA","Mohammadia, 16","il y a environ 2 heures","Tech Zone Stationery"
"Microsoft Office 2021 2019 2016 Pro Plus Windows 10 11 Pro projet visio serveur...","500","DA","Bab ezzouar, 16","il y a environ 2 heures","Optimum"
"Accessoires des armoires","","","Mohammadia, 16","il y a environ 2 heures","JIL IT"
"Cisco c9300 poe","1","DA","Bir el djir, 31","il y a environ 2 heures",""
"Refroidisseur magnétique pour smartphone et tablette, SL18, universel","2 800","DA","Ain naadja, 16","il y a environ 2 heures",""
"cartouche hp n 82 et 72 et 10","1","DA","Boufarik, 9","il y a environ 2 heures","Mouha HP"
"RAME BRISTOL A3","967","DA","Mohammadia, 16","il y a environ 3 heures","Tech Zone Stationery"
"Badgeuse Evolis","","","Bir mourad rais, 16","il y a environ 3 heures","Sarl B HTEK"
"TICKET DE CAISSE","1","DA","Dar el beida, 16","il y a environ 3 heures","SARL INNOPOS"
"Point d'accès plafonnier WiFi 6 AX1800 bi-bande Réf: EAP610 TP-link","","","Dar el beida, 16","il y a environ 3 heures","BROAD TECHNOLOGY"
"Clavier Logitech k580 sans fil Bluetooth wifi","15 000","DA","Constantine, 25","il y a environ 3 heures",""
"حاسوب hp","65 000","DA","Tebessa, 12","il y a environ 3 heures",""
