"Product Name","Price","Unity","Location","Time","Store Name","Delivery"
"ONDULEUR APC EASY-UPS SRV 2000VA 230V (ON-LINE) Double Conversion Tour","104 000","DA","Hussein dey, 16","il y a environ 11 heures","DMS INFORMATIQUE",""
"Licences officielles Kaspersky","1 000","DA","Belouizdad, 16","il y a 1 jour","",""
"Imprimante laser Canon MF3010 / LPB6030","52 000","DA","Kouba, 16","il y a 1 jour","",""
"STATION HP Z2 G9","","","Kouba, 16","il y a environ 11 heures","clyo systems",""
"ONDULEUR APC SMART-UPS 750VA LCD RM 230V (RACKABLE)","87 300","DA","Hussein dey, 16","il y a environ 11 heures","DMS INFORMATIQUE",""
"LAPTOP ASUS K3402ZA-KM138W I7-12700H 8GB SSD 512GB WIFI6 14 POUCES WIN 11 GRIS","","","Cheraga, 16","il y a environ 11 heures","IFTA COMPUTER",""
"Onduleur APC Easy UPS SMV 3000VA 230V (SMV3000AI)","110 000","DA","Hussein dey, 16","il y a environ 11 heures","DMS INFORMATIQUE",""
"ONDULEUR APC Easy UPS On-Line SRV MONTAGE EN RACK 1 000 VA 230 V","79 000","DA","Hussein dey, 16","il y a environ 11 heures","DMS INFORMATIQUE",""
"UGREEN - Adaptateur clé WIFI 6 AX1800","6 000","DA","Blida, 9","il y a 1 jour","",""
"Kaspersky","1 000","DA","El mouradia, 16","il y a 1 jour","",""
"ONDULEUR APC RACKABLE 2000 VA SRV2KRI","","","Hussein dey, 16","il y a environ 11 heures","DMS INFORMATIQUE",""
"Imprimante Canon MF651CW","88 500","DA","Kouba, 16","il y a environ 11 heures","clyo systems",""
"TONER EPSON M2000 ORIGINAL","1","DA","Mohammadia, 16","il y a environ 11 heures","HORIZON INFORMATIQUE","Paiement à la livraison"
"SOURIS USB FILAIRE VIVANCO IT-MS USB 1000","1 500","DA","Oran, 31","il y a environ 11 heures","CLICK INFORMATIQUE ORAN","Livraison gratuite"
"encre rechargeable Hp 72 6 couleur Pour Traceur Hp T790.T795.T1100.T1200....","5 000","DA","Boufarik, 9","il y a environ 11 heures","Mouha HP","Paiement à la livraison"
"Licence Windows 11 pro Original","900","DA","Bab ezzouar, 16","il y a 1 jour","",""
"Rouleau Papier thermique et code barre","380","DA","Kouba, 16","il y a 1 jour","",""
