"Product Name","Price","Unity","Location","Time","Store Name"
"ThinkCentre M800z All-in-One","50 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"intel core i7 4790K 4.0 GHz","27 000","DA","Draria, 16","il y a environ 1 heure",""
"RTX 3060 12 GB MSI GAMING X","60 000","DA","El affroun, 9","il y a environ 2 heures",""
"HP Z800 850W Alimentation","","","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"HP Officejet 100 Mobile Printer","35 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"hp t630 + ecran terra 19"" ips","35 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"DELL Optiplex 390","17 500","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"hp t610 client leger equivalent i3","12 500","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"Msi pro mp22 100hz ips","20 000","DA","Miliana, 44","il y a environ 2 heures",""
"Samsung led 27 fih mode gaming","25 000","DA","Miliana, 44","il y a environ 2 heures",""
"WORKSTATION LENOVO S 20","50 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"DELL OPTIPLEX 7440 AIO","65 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"all in one","35 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"HP Z230 Workstation","35 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"ALL IN ONE","45 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"MacBook Pro 2019 UK safi","98 000","DA","Bab ezzouar, 16","il y a environ 2 heures",""
"Pc gamer","11 000 000","DA","Tizi ouzou, 15","il y a environ 2 heures",""
"Lenovo ThinkStation P510","125 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"Fujitsu Esprimo Q520 mini pc","24 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"ENSEMBLES POUR SOLUTION TACTILES ORIGINALE","100 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"HP RP 5810","41 000","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"bloc alimentation hp z 620","35","DA","Oran, 31","il y a environ 2 heures","SOS INFO & solution"
"HP Compaq Elite 8300 USDT","19 000","DA","Constantine, 25","il y a environ 3 heures",""
"DELL Precision 3550 - i7 10em + Nvidia Quadro P520","82 000","DA","Les eucalyptus, 16","il y a environ 3 heures",""
"Dell Latitude 7490 Touch","59 000","DA","Dar el beida, 16","il y a environ 2 heures","Tassili computer"
"Lenovo Thinkpad L480 i5 8ème","49 000","DA","Dar el beida, 16","il y a environ 2 heures","Tassili computer"
"Lenovo Thinkpad T480s Tactile","55 000","DA","Dar el beida, 16","il y a environ 2 heures","Tassili computer"
