"Product Name","Location","Time","Store Name","Price","Unity","Delivery"
"Switch Cisco Catalyst 3750 x PoE 48 Giga +2* SFP+ en POE+ double alimentation","Bir mourad rais, 16","il y a environ 11 heures","Service Reseaux et maintenance systemes","","",""
"LENOVO IDEAPAD 330/AMD A4-9125/4G/256 SSD/17 POUCE","Douera, 16","il y a environ 10 heures","","25 000","DA",""
"Répéteur Wifi TP - LINK et ZTE","Bou ismail, 42","il y a environ 10 heures","","","",""
"Routeur Cisco 1800","Bir mourad rais, 16","il y a environ 11 heures","Service Reseaux et maintenance systemes","","",""
"Cisco Catalyst 3650 48 Giga POE+ + 4*1G SFP","Bir mourad rais, 16","il y a environ 11 heures","Service Reseaux et maintenance systemes","","",""
"cisco catalyst 3560 V2 series POE 48 ports 10-100","Bir mourad rais, 16","il y a environ 11 heures","Service Reseaux et maintenance systemes","","",""
"SCANNER CANON P-208II","Birkhadem, 16","il y a environ 11 heures","GHM","","",""
"Acer Nitro 5 Gaming Intel i7-12700H NVIDIA RTX 3060 GPU 15.6 FHD 144Hz 16GB DDR4...","Bab ezzouar, 16","il y a environ 11 heures","Kizmo store","187 000","DA","Paiement à la livraison"
"Disque portable seagate","Alger centre, 16","il y a environ 10 heures","","2 500","DA",""
"hp","Bourouba, 16","il y a environ 10 heures","","15 000","DA",""
"Laptop MacBook Pro Touchbar (15-inch, 2017) 16Gb Ram 512GB SSD Radeon Pro 560 wi...","Bab ezzouar, 16","il y a environ 11 heures","Kizmo store","124 000","DA","Paiement à la livraison"
"Microsoft Surface Laptop Studio 14,4"" (I7 11eme/32Go/1To SSD/RTX 3050Ti)","Bab ezzouar, 16","il y a environ 11 heures","Kizmo store","197 000","DA","Paiement à la livraison"
"Asus ROG Strix G15 G513QM Ryzen 7 5800H RTX3060 6GB Graphics 15.6"" Gaming Laptop","Bab ezzouar, 16","il y a environ 11 heures","Kizmo store","186 000","DA","Paiement à la livraison"
"MSI PULSE 15 I9 13TH 16GB 1TB SSD RTX 4060 8GB 15.6""","Bab ezzouar, 16","il y a environ 11 heures","DEYSTORE","295 000","DA","Paiement à la livraison"
"Traceur HP t520","Tessala el merdja, 16","il y a environ 11 heures","Traceur HP et plieuse de plans","1","DA",""
"Apple MacBook Pro 2015 Retina 15.4"" quad-core intel i7 16G RAM 256 SSD","Ouled fayet, 16","il y a environ 10 heures","","60 000","DA",""
"HP ELITEBOOK 850 G5","Tizi ouzou, 15","il y a environ 10 heures","","67 000","DA",""
"Réseau informatique et téléphonique","Larbaa, 9","il y a environ 11 heures","Riess Système","","",""
"HP ELITEBOOK 840 G9 I7-1255U/16G/512SSD/14""/WIN11","Kouba, 16","il y a environ 11 heures","EL ASSIL LAPTOP","155 000","DA","Paiement à la livraison"
"MINI PC LENOVO THINKCENTER I3/I5 3EME RAM 04/08GB SSD 128GB/256GB/512GB/1TB USB ...","Kouba, 16","il y a environ 11 heures","CMR INFORMATIQUE","4","DA","Paiement à la livraison"
"DELL LATITUDE 5440 Core i5-13TH 8GB 256SSD 14''","Bab ezzouar, 16","il y a environ 11 heures","DEYSTORE","99 000","DA","Paiement à la livraison"
"DELL LATITUDE 5530 CORE I7-12TH 16GB 512SSD 15.6*","Bab ezzouar, 16","il y a environ 11 heures","DEYSTORE","125 000","DA","Paiement à la livraison"
"IMAC FIN 2012 SLIM /I5 3 EME /8G/256 SSD NVME NEUF /21.5","Douera, 16","il y a environ 11 heures","","56 500","DA",""
"ECRAN LG 32"" GN650-B gaming VA QHD 2K","Kouba, 16","il y a environ 11 heures","","69 000","DA",""
"DELL LATITUDE 7320  i5 11th 16 RAM 256 SSD  13.3 FHD","Bab ezzouar, 16","il y a environ 11 heures","DEYSTORE","79 000","DA","Paiement à la livraison"
"Cisco catalyst 2960 G series","Bir mourad rais, 16","il y a environ 11 heures","Service Reseaux et maintenance systemes","","",""
"Cisco catalyst 2960 series 24 ports 10-100","Bir mourad rais, 16","il y a environ 11 heures","Service Reseaux et maintenance systemes","","",""
"Cisco express 500 series  24 ports 10/100+ 2 interfaces 1 G","Bir mourad rais, 16","il y a environ 11 heures","Service Reseaux et maintenance systemes","","",""
"Cisco express 500 series  24 ports 10/100+ 2 interfaces 1 G","Bir mourad rais, 16","il y a environ 11 heures","Service Reseaux et maintenance systemes","","",""
