"Product Name","Price","Unity","Delivery","Location","Time","Store Name"
"Disque Dur SSD  عرض خاص","1","DA","Paiement à la livraison","Setif, 19","il y a environ 12 heures","Ets MESSAHEL"
"HP ENVY 17 i7 8th generation GEFORCE MX150 16GB RAM 256 SSD ecran tactile","90 000","DA","","Dely brahim, 16","il y a environ 12 heures",""
"Gestion de production pour Usines","75 000","DA","","Oued smar, 16","il y a environ 12 heures",""
"RAM SERVEURS DDR4  8GB / 16GB 2400T/2666V","1","DA","Paiement à la livraison","Setif, 19","il y a environ 12 heures","Ets MESSAHEL"
"Lecteur de Code Barre Honeywell Granit 1981i","1","DA","Livraison disponible","Setif, 19","il y a environ 12 heures","Ets MESSAHEL"
"Ecran 14.0 LED PAPER 30 PIN","1","DA","Paiement à la livraison","Setif, 19","il y a environ 12 heures","Ets MESSAHEL"
"Cartes mère pour PC Portable","1","DA","Livraison disponible","Setif, 19","il y a environ 12 heures","Ets MESSAHEL"
"DELL Latitude 5320 i5 11eme/ 8GB RAM / 256GB SSD / 14 FHD","80 000","DA","Paiement à la livraison","Setif, 19","il y a environ 12 heures","Ets MESSAHEL"
"KIT: MSI B250 M GAMING PRO + I5 7400 + CPU FAN","21","DA","","El khroub, 25","il y a environ 12 heures",""
"HP ZBOOK 15","129 900","DA","","Tizi ouzou, 15","il y a environ 12 heures",""
"LENOVO LEGION Y540 - I5-9ème/8GO/512GO/1660TI/15.6""","110 000","DA","Paiement à la livraison","Setif, 19","il y a environ 12 heures","Ets MESSAHEL"
"DELL LATITUDE 5440 2023/intel I7 -1355U/RAM 16GB DDR4/DISK 512GB SSD/14 pouce FH...","133 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a environ 12 heures","Microsoft  pro dz"
"MSI VECTOR 16HX 2024/INTEL I9-13980HX/ RAM 32GB DDR5/1TB SSD/NVIDIA RTX 4080 12G...","455 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a environ 12 heures","Microsoft  pro dz"
