"Product Name","Price","Unity","Delivery","Location","Time","Store Name"
"Switch Gigabit non géré à 24 ports D-LINK DGS-1024C","13 100","DA","Paiement à la livraison","Alger centre, 16","il y a 1 jour","GENICOM Informatique"
"خدمة تطوير المواقع والتطبيقات وأنظمة ERP","","","","Gue de constantine, 16","il y a environ 19 heures",""
"cable ethernet catégorie 6 15 MÈTRE","1 000","DA","","Douera, 16","il y a environ 19 heures",""
"APPLE MACBOOK AIR M2 2022 8GB 512GB 63 CYCLE CLEAN","169 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"DELL PRECISION 3580 i7-1370p 16GB 512GB SSD RTX A500","155 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"HP PROBOOK 640 G5 I5-8365U 16GB 256GB SSD","54 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"HP PAVILION GAMING I5-9300H 8GB 128GB SSD + 1TB HDD GTX 1050","88 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"DELL XPS 13 9310  i7-1185G7 16GB 512GB SSD","101 500","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"Dvd hp double couche 8.5","","","","Alger centre, 16","il y a environ 19 heures",""
"Lenovo ThinkStation P720 2x Intel Xeon Silver 4114 20 Cores 2.2GHz 128GB  NVIDIA...","111","DA","","Batna, 5","il y a environ 20 heures",""
"MICROSOFT SURFACE PRO 9 i5-1235U 16GB 256GB","135 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"DELL LATITUDE 5440 i5-1335U 16GB 256GB SSD","98 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"DELL LATITUDE 5430 i5-1245U 16GB 256GB SSD","85 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"LENOVO IDEAPAD 3 RYZEN 5 5600H 16GB 512GB SSD RTX 3050 4GB VRAM","146 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"HP PROBOOK 640 G3 I5-7300U 8GB 256GB SSD","45 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"HP Z240 Tower Computer Workstation PC, Intel Core i5 7600  4,20 GHz, 32GB DDR4 R...","55 000","DA","","Batna, 5","il y a environ 20 heures",""
"Imprimante thermique professionnel à étiquettes code barre Intermec","1","DA","","Ain oulmene, 19","il y a environ 20 heures",""
"APPLE MACBOOK AIR M2 2022 8Gb 512GB SSD 115CYCLE","169 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
"APPLE MACBOOK PRO 2017 I5 8GB 256GB SSD 482CYCLE","69 000","DA","Paiement à la livraison","Bab ezzouar, 16","il y a 1 jour","V2 TECH"
