"Product Name","Price","Unity","Location","Time","Store Name"
"DL380 G9 CPU XEON  E5-2609 V3 / RAM 32GB / PSU 2X 500WATTS / GRAVEUR DVD / HDD 7...","400 000","DA","Cheraga, 16","il y a 2 jours","SARL CH INFORMATIQUE"
"Vendre 3 RAM. DDR. 2. = 1GO","9 000","DA","Baraki, 16","il y a 1 jour",""
"G41 : MSI / gigabyte / hp / biostar","1","DA","Baraki, 16","il y a 1 jour",""
"ASUS Vivobook 16 i9-13900H 24GB Ram 1TB SSD Nvme","175 000","DA","Dely brahim, 16","il y a 2 jours","ABDOU CABBA STORE"
"MacBook Pro 15 inch","125 000","DA","Kouba, 16","il y a 2 jours","iTech Com"
"MACBOOK PRO 2023 M2 Pro 16Gb  512ssd","375 000","DA","Kouba, 16","il y a 2 jours","iTech Com"
"LENOVO ThinkPad X13 YOGA I5 10th 8 GB 256 GB FHD TACTILE 360","72 000","DA","Bab ezzouar, 16","il y a 2 jours","TRETEC"
"vente traceur hp tête et cartouche","","","Constantine, 25","il y a 2 jours","Narimane maintenance (soualah yacine)"
"IMPRIMANTE CANON PIXMA TS5051 EN TRES BON ETAT","25 000","DA","Oran, 31","il y a 1 jour",""
"Sites WEB dynamique & E-Commerce.","19 500","DA","Alger centre, 16","il y a 1 jour",""
"Traceur hp T520","1","DA","Constantine, 25","il y a 2 jours","Narimane maintenance (soualah yacine)"
"Station d'accueil Dell CN-035RXK-12961 (k09a002)","10 000","DA","Said hamdine, 16","il y a 2 jours","Activline"
"HP DL380 G5 CPU XEON 2X E5-5405 / RAM 12GB / PSU 2X 1000WATTS / GRAVEUR DVD / HD...","200 000","DA","Cheraga, 16","il y a 2 jours","SARL CH INFORMATIQUE"
"PC INDUSTRIEL","","","Bir mourad rais, 16","il y a 2 jours","Code Barre Center"
"SUPPORT PROG MOSAIC - POUR DLP COUV 65","500","DA","Bir mourad rais, 16","il y a 2 jours","DAD ELECTRONICS"
"LAPTOP HP G6/i3-2350/8Go/500Go/15.6""","24 000","DA","Kouba, 16","il y a 1 jour",""
"LAPTOP ASUS K52J/i5 1ere/4Go/500Go/geforce 310m/15.6""","22 000","DA","Kouba, 16","il y a 1 jour",""
"DISQUE IBM 300GB 2.5"" SAS 10K 6Gb/s HS Hard Drive","34 900","DA","Cheraga, 16","il y a 2 jours","SARL CH INFORMATIQUE"
