"Product Name","Location","Time","Store Name","Price","Unity"
"Ecran  motorisé  TISSU Matt 2.1M*2.1M","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"Pc gamer","Bir mourad rais, 16","il y a 1 jour","","65 000","DA"
"LENOVO THINKPAD L14 AMD Ryzen 5 Pro 5675U 16GB RAM 14"" FULL HD","El biar, 16","il y a 1 jour","","75 000","DA"
"Ecran motorisé  TISSU Matt 2.5M*2.5M","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"imprimante SCX-4521F","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"ecran  motorise  TISSU Matt (4M*3M)","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"imprimante ML1910 Samsung","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"Ecran  motorisé TISSU Matt (3M*3M)","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"LenovoE585","Bordj bou arreridj, 34","il y a 1 jour","","54 000","DA"
"Workstation calcul 3ds montage vidéo","Oran, 31","il y a 1 jour","","1","DA"
"goulotte de mur","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"cable fibre optique","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"cable téléphonique","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"cable réseau Cat. 6","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"système de conférence économique","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"Asus vivobook","Bordj el bahri, 16","il y a 1 jour","","70 000","DA"
"Laptop DELL 15.6"" I3 6eme 500GB","Alger centre, 16","il y a 1 jour","","4","DA"
"réseaux  informatique","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"réseaux téléphonique","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"laboratoire de langue numérique","Bir mourad rais, 16","il y a 3 jours","SOSETEL","",""
"HUAWEI MATEBOOK 14 - TACTILE - I7 1165G7 - 512GB SSD - 16GB RAM - IRIS XE","Alger centre, 16","il y a 3 jours","MEZA LAP","119 000","DA"
"LAPTOP HP PRO BOOK 640 G4 CPU I5 8EME RAM 8G DISQUE DUR 256GB SSD","Bab ezzouar, 16","il y a 3 jours","TMI Informatique BBZ","55 000","DA"
"Les carcasse pc portable","Bab ezzouar, 16","il y a 1 jour","","1","DA"
"Serveur tour Lenevo TS480","Oran, 31","il y a 1 jour","","1","DA"
"KIT Rails de montage 2U et 1U pour un serveur DL380, DL360 Gen 9 et Gen 10","Dar el beida, 16","il y a 3 jours","Serveur Store","28 000","DA"
"Serveur HPE DL360 gen 9","Dar el beida, 16","il y a 3 jours","Serveur Store","200 000","DA"
"Serveur HPE DL360 gen 10","Dar el beida, 16","il y a 3 jours","Serveur Store","1","DA"
"Pièces de rechange serveurs DL380 et DL360 GEN8,GEN9 et GEN10","El khroub, 25","il y a 3 jours","Serveur Store","1","DA"
"Serveur HPE DL380 gen 10 xeon silver 4110 (8c)","Constantine, 25","il y a 3 jours","Serveur Store","380 000","DA"
"Claviers & souris Gaming Attack shark, Redragon","Laghouat, 3","il y a 1 jour","","1","DA"
"Promotion MICRO LENOVO V330 ALLINONE INTEL I3 8EME /4GO DDR4//1000GB HDD DVD RW/...","Bab ezzouar, 16","il y a 1 jour","","650","DA"
"Bloc Alimentation pour serveur DL380 Gen 9 et DL380 Gen 10","El khroub, 25","il y a 3 jours","Serveur Store","16 000","DA"
"Carte mère serveur HP dl380 et dl360 gen 9","El khroub, 25","il y a 3 jours","Serveur Store","1","DA"
"serveur HP DL380 gen 9 avec deux processeurs E5-2673V3 (24C)","Dar el beida, 16","il y a 3 jours","Serveur Store","240 000","DA"
"DELL LATITUDE 5410","El harrach, 16","il y a 3 jours","البصائر للإتصالات","98 000","DA"
"SYSTEMES D'AUDIO CONFERENCE POLYCOM","Ben aknoun, 16","il y a 3 jours","WALTEL","",""
"CORDONS DE BRASSAGE 0.5M/1M/2M/3M/5M/10M FTP","Dar el beida, 16","il y a 3 jours","ALCOMTECH","",""
"SWITCH D-LINK","Dar el beida, 16","il y a 3 jours","ALCOMTECH","",""
"LICENCE MICROSOFT WINDOWS ET OFFICE","Dar el beida, 16","il y a 3 jours","ALCOMTECH","",""
"TP-LINK MODEM ROUTEUR VDSL/ADSL SANS FIL AC1200","Dar el beida, 16","il y a 3 jours","ALCOMTECH","",""
"POINTEUSE BIOMETRIQUE FACIAL ET CONTROLE D'ACCES ZKTeco MB160","Dar el beida, 16","il y a 3 jours","ALCOMTECH","",""
"ASUS ZenBook Flip 14","Oued smar, 16","il y a 3 jours","Hamza Electronique","60 000","DA"
"ASUS Zenbook Flip S","Oued smar, 16","il y a 3 jours","Hamza Electronique","80 000","DA"
"ASUS ROG STRIX G713IM","Oued smar, 16","il y a 3 jours","Hamza Electronique","170 000","DA"
"MacBook Air 13 Pouces 2017","Oued smar, 16","il y a 3 jours","Hamza Electronique","35 000","DA"
"Laptop DELL 15.6"" I3 6eme 500GB","Alger centre, 16","il y a 1 jour","","4","DA"
"Les carcasse pc portable","Bab ezzouar, 16","il y a 1 jour","","1","DA"
"MacBook Air 2022 M2 8C","Alger centre, 16","il y a 3 jours","Vivre Mobile DZ","19 500","DA"
"HP all in one i5-9500 16G 512G ssd 24'' ips windows 10 + clavier/ souris hp","Kouba, 16","il y a 3 jours","EL ASSIL LAPTOP","112 000","DA"
"Dell latitude 5410 i5-10th vpro 8G 256G SSD 14 inch windows 10","Kouba, 16","il y a 3 jours","EL ASSIL LAPTOP","59 500","DA"
"Acer Nitro 5 i5 11300H 16G 512 SSD RTX 3050 4G 15.6 FHD","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","133 000","DA"
"Lenovo Thinkpad T470 i7 6600U 16G 256 SSD 14"" Full HD","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","62 000","DA"
"Serveur tour Lenevo TS480","Oran, 31","il y a 1 jour","","1","DA"
"Claviers & souris Gaming Attack shark, Redragon","Laghouat, 3","il y a 1 jour","","1","DA"
"MacBook Pro 2019 /i9 / 16Go / 512Go/ Radeon Pro 560X 4Go / Libérer l'officiel","Oued smar, 16","il y a 3 jours","Hamza Electronique","137 000","DA"
"MacBook Pro 15 Pouces 2018 Libérer l'officiel","Oued smar, 16","il y a 3 jours","Hamza Electronique","156 000","DA"
"Dell Latitude 5440","Oued smar, 16","il y a 3 jours","Hamza Electronique","110 000","DA"
"Latitude 5420 / i7-1165G7 / 512Go / 16Go / Intel Iris Xe Graphics","Oued smar, 16","il y a 3 jours","Hamza Electronique","80 000","DA"
"Latitude 5431 / vPro i5-1250P / 512Go/ 16Go / NVIDIA MX550 2 GB GDDR6","Oued smar, 16","il y a 3 jours","Hamza Electronique","150 000","DA"
