"Product Name","Price","Unity","Location","Time","Store Name","Delivery"
"DISQUE DUR INTERNE SAS","22 000","DA","Kouba, 16","il y a 3 jours","MATINFO",""
"Lenovo ThinkPad X13 Yoga Gen4 i5-1335U, Tactile X360- STYLET, 16GB ,512SSD,Iris ...","","","Hussein dey, 16","il y a 1 jour","",""
"Pc ordinateur bureautique la marque hp presque neuf.","35 000","DA","Khenchela, 40","il y a 1 jour","",""
"LAPTOP HP DRAGONFLY I7 12EME 32GB SSD 256GB","144 000","DA","Mohammadia, 16","il y a 3 jours","MDITEC INFORMATIQUE","Paiement à la livraison"
"Serveur TOUR DELL smart Value PowerEdge T440","1","DA","Dar el beida, 16","il y a 3 jours","prodaily technologie",""
"Apple MacBook Pro 2015 Retina 13.3"" i5 8G 256 SSD","63 000","DA","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","Livraison gratuite"
"Toshiba Dynabook Protégé X20w i7 8565U 16G 512SSD 12.5"" Full HD Tactile x360","69 000","DA","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","Paiement à la livraison"
"Dell Precision 7670 i7 12Th Gén Fhd 32G 1Tera SSD RTX A3000 12G","267 000","DA","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","Livraison gratuite"
"HDD 1Tb et 500Gb","","","Kolea, 42","il y a 1 jour","",""
"HP EliteDisplay E240","23 000","DA","Djelida, 44","il y a 1 jour","",""
"HP EliteBook 845 G8 Ryzen 7 Pro 5850U 16G 256 SSD 14"" Full HD 4G LTE","99 000","DA","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique",""
"HP EliteBook 830 G8 i7 1165G7 16G 512 SSD 13.3"" Full HD","118 000","DA","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","Livraison gratuite"
"Apple MacBook Pro 13"" 2017 TouchBar i5 2.3 8G 256 SSD Cycle 20","","","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique",""
"Dell Latitude 3520 i5 1135G7 16G 256 SSD 15.6"" Full HD","81 000","DA","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","Livraison gratuite"
"Acer TravelMate Spin P4 i5 1135G7 8G 512SSD 14"" X360 Tactile Full HD","89 000","DA","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","Livraison gratuite"
"Disque dur","123","DA","Blida, 9","il y a 1 jour","",""
"Station Dell T3610 256go ram P5000 16go","1","DA","Oran, 31","il y a 1 jour","",""
"Dell Précision 3571 i7 12th 32G DDR5 1T-SSD RTX A1000 4G 15.6"" Full HD","176 000","DA","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","Livraison gratuite"
"Carte Graphique Msi Radeon RX 470 ARMOR 4G Used","17 500","DA","Oran, 31","il y a 3 jours","DESKCOM","Paiement à la livraison"
"Traceur hp 500 plus","2","DA","Birtouta, 16","il y a 3 jours","Racimou graphie","Paiement à la livraison"
"GeForce RTX 4060 VENTUS 2X WHITE 8G OC","1","DA","Dar el beida, 16","il y a 3 jours","prodaily technologie",""
"ARMOIRE POUR POINTEUSE FACIALE TABOX28","16 500","DA","Bounoura, 47","il y a 3 jours","ComTelNet",""
"LOT DES Disque dure 2.5 avec garantie (500G+1000G)","4 500","DA","Douera, 16","il y a 1 jour","",""
"Matériel de réseau","","","Kouba, 16","il y a 1 jour","",""
"Imprimante mobile","","","Birkhadem, 16","il y a 3 jours","Code Barre Center",""
"Laptop LENOVO IDEAPAD 5 i5-1135G7 8GB 256GB 15.6"" FHD","75 000","DA","Bab ezzouar, 16","il y a 3 jours","ELITE COMPUTER",""
"Cisco HWIC-1CE1T1-PRI 1 Port Channeliz","1","DA","Boumerdes, 35","il y a 3 jours","CiscoMania Informatique et Réseaux",""
"ROUTEUR CISCO ISR 4221/K9","1","DA","Boumerdes, 35","il y a 3 jours","CiscoMania Informatique et Réseaux","Paiement à la livraison"
"BORNE WIFI CISCO AIR-BR1310G-A-K9 OUTDOOR EXTERIEUR","","","Boumerdes, 35","il y a 3 jours","CiscoMania Informatique et Réseaux",""
"Ventilateur processeur intel i3/ i5/ i7 & boîtie pc bureau","1","DA","Blida, 9","il y a 1 jour","",""
"CHARGEURS ORIGINALS TOUT MODELS","1","DA","Douera, 16","il y a 1 jour","",""
"ROUTEUR CISCO ISR4451-X/K9","1","DA","Boumerdes, 35","il y a 3 jours","CiscoMania Informatique et Réseaux","Paiement à la livraison"
"SWITCH SG550X-48P NIVEAU 3 POE GIGABIT 2*10G SFP","1","DA","Boumerdes, 35","il y a 3 jours","CiscoMania Informatique et Réseaux","Paiement à la livraison"
"Carte Cisco VWIC-1MFT-G703 - Cartes d'interface WAN/voix Multiflex Trunk T1/E1","","","Bab ezzouar, 16","il y a 3 jours","CiscoMania Informatique et Réseaux",""
"HP1820-24G Switch 24 ports 10/100/1000 Mbps + 2 SFP","","","Boumerdes, 35","il y a 3 jours","CiscoMania Informatique et Réseaux","Paiement à la livraison"
"CARTE CISCO NIM-2CE1T1-PRI","1","DA","Boumerdes, 35","il y a 3 jours","CiscoMania Informatique et Réseaux","Paiement à la livraison"
"SWITCH Cisco Catalyst C3850-48P POE GIGABIT NIVEAU 3","","","Bab ezzouar, 16","il y a 3 jours","CiscoMania Informatique et Réseaux",""
"Firewall ASA 5506X","","","Bab ezzouar, 16","il y a 3 jours","CiscoMania Informatique et Réseaux",""
"HP VICTUS GAMING 16-e0307nf RYZEN 5 5600H 16-512 RX5500M","128 000","DA","El harrach, 16","il y a 3 jours","البصائر للإتصالات",""
"ROUTEUR CISCO 2921 / K9","","","Bab ezzouar, 16","il y a 3 jours","CiscoMania Informatique et Réseaux",""
"LAPTOP ASUS VIVOBOOK 17 I3-8145 8GB 256 GB SSD 17.3"" FHD","46 000","DA","Bab ezzouar, 16","il y a 3 jours","ELITE COMPUTER",""
"reparation tete d'impression hp t520","","","Boufarik, 9","il y a 3 jours","Mouha HP",""
"HP 15-DY2795WM CORE I5-11 eme generation","1","DA","Dar el beida, 16","il y a 3 jours","prodaily technologie",""
"Lenovo C24-40  Ecran LED  24 (23.8 visualisable) - 1920 x 1080 Full HD (1080p) ...","1","DA","Dar el beida, 16","il y a 3 jours","prodaily technologie",""
