"Product Name","Price","Unity","Delivery","Location","Time","Store Name","mr-1 2","text-decoration-line-through"
"HP ProBook 450 G8 i5 1135G7 16G 256 SSD 15.6 Full HD","88 000","DA","Livraison gratuite","Bab ezzouar, 16","il y a 3 jours","ShiftTech Informatique","",""
"Rouleaux de caisse","","","","Alger centre, 16","il y a 1 jour","","",""
"Aorus B450 Pro + Ryzen 5 3600x","50 000","DA","","Boumerdes, 35","il y a 1 jour","","",""
"DELL LATITUDE 5410 | INTEL 10EME GEN I5-10310U @2.11GHz | 16GB RAM | 256GB SSD |...","59 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 3 jours","PC&Phone","89 000","DA"
"MacBook Pro M1 Pro 2021 14'' | Puce Apple M1 8 COEURS | GPU 14 COEURS | 16GB RAM...","199 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 3 jours","PC&Phone","259 000","DA"
"Lenovo ThinkPad L380 YOGA CONVERTIBLE TACTILE | INTEL CORE I5-8350U | 8GB RAM | ...","57 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 3 jours","PC&Phone","79 000","DA"
"Dell Latitude 7420 2-In-1 Conception Inclinable Tactile - INTEL Evo I5-1145G7 - ...","94 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 3 jours","PC&Phone","155 000","DA"
"LENOVO ThinkPad T14 GEN 4 Tactile | INTEL 13EME GEN vPRO I5 1345U | 16GB RAM | 5...","119 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 3 jours","PC&Phone","169 000","DA"
"Mini PC Firewall-PFsense","1","DA","","Oran, 31","il y a 1 jour","","",""
"Vend & Flash modem 4g djezzy ooredoo","","","","Bab ezzouar, 16","il y a 1 jour","","",""
"IMac 21.5"" Retina 4K 2015 | INTEL CORE I5 DOUBLE COEUR | 8GB RAM | 1TB HDD | INT...","96 000","DA","Paiement à la livraison","Mostaganem, 27","il y a 3 jours","PC&Phone","140 000","DA"
